id,title,full_question,difficulty,topic,companies
1,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,"Apple, TCS, Adobe"
2,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"Google, PayPal"
3,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Wipro, Oracle"
4,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,Infosys
5,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,"Microsoft, Meta"
6,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,Google
7,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,"TCS, Google"
8,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"Infosys, Wipro, Apple"
9,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,Amazon
10,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Easy,Stack & Queue,"Flipkart, Goldman Sachs, Meta"
11,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,Oracle
12,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Easy,Arrays,"Oracle, PayPal"
13,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,Wipro
14,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,"Uber, Amazon, TCS"
15,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,"Infosys, Adobe"
