id,difficulty,category,question
1,Hard,Trees,Architect a high-performance solution to find kth largest element.
2,Hard,Greedy Algorithms,Architect a high-performance solution to implement Dijkstra's algorithm.
3,Easy,Dynamic Programming,Write a program to solve N-Queens problem.
4,Hard,Recursion & Backtracking,Architect a high-performance solution to solve the knapsack problem.
5,Hard,Dynamic Programming,Handle edge cases while implementing reverse an array.
6,Hard,Arrays,Solve reverse an array with optimal time and space complexity.
7,Hard,Arrays,Architect a high-performance solution to reverse an array.
8,Easy,Greedy Algorithms,Find validate parentheses.
9,Hard,Linked List,Implement an advanced solution for validate parentheses.
10,Hard,Strings,Solve detect a cycle in a linked list with optimal time and space complexity.
11,Easy,Greedy Algorithms,Implement find majority element.
12,Medium,Stack & Queue,Solve solve N-Queens problem using appropriate data structures.
13,Medium,Searching & Sorting,Design an efficient solution to detect palindrome string.
14,Hard,Greedy Algorithms,Implement an advanced solution for generate all permutations of a string.
15,Medium,Searching & Sorting,Design an efficient solution to perform level order traversal of a tree.
16,Easy,Linked List,Create a function to find majority element.
17,Easy,Greedy Algorithms,Write a program to generate all permutations of a string.
18,Medium,Greedy Algorithms,Optimize an algorithm to merge two sorted arrays.
19,Easy,Recursion & Backtracking,Solve the problem of detect palindrome string.
20,Medium,Arrays,Optimize an algorithm to find the longest substring without repeating characters.
21,Easy,Arrays,Write a program to implement a stack using queues.
22,Hard,Arrays,Architect a high-performance solution to find shortest path in a graph.
23,Easy,Arrays,Write a program to count inversions in an array.
24,Medium,Dynamic Programming,Implement validate parentheses with time complexity O(n log n) or better.
25,Hard,Trees,Solve perform level order traversal of a tree with optimal time and space complexity.
26,Medium,Strings,Optimize an algorithm to find majority element.
27,Medium,Strings,Design an efficient solution to implement a stack using queues.
28,Easy,Recursion & Backtracking,Implement find maximum depth of a binary tree.
29,Medium,Graphs,Explain and implement an approach to validate parentheses.
30,Medium,Graphs,Explain and implement an approach to find connected components in a graph.
31,Easy,Arrays,Implement generate all permutations of a string.
32,Easy,Greedy Algorithms,Solve the problem of find kth largest element.
33,Hard,Arrays,Solve detect palindrome string with optimal time and space complexity.
34,Easy,Trees,Solve the problem of solve N-Queens problem.
35,Medium,Strings,Explain and implement an approach to detect a cycle in a linked list.
36,Medium,Stack & Queue,Explain and implement an approach to implement LRU cache.
37,Hard,Trees,Architect a high-performance solution to count inversions in an array.
38,Hard,Linked List,Solve find shortest path in a graph with optimal time and space complexity.
39,Hard,Trees,Design a scalable algorithm to implement a stack using queues.
40,Hard,Searching & Sorting,Solve find the longest substring without repeating characters with optimal time and space complexity.
41,Hard,Dynamic Programming,Design a scalable algorithm to find majority element.
42,Easy,Searching & Sorting,Implement implement a stack using queues.
43,Hard,Linked List,Design a scalable algorithm to find shortest path in a graph.
44,Hard,Linked List,Architect a high-performance solution to solve N-Queens problem.
45,Medium,Dynamic Programming,Design an efficient solution to solve the knapsack problem.
46,Hard,Stack & Queue,Implement an advanced solution for implement LRU cache.
47,Easy,Arrays,Solve the problem of find shortest path in a graph.
48,Hard,Stack & Queue,Architect a high-performance solution to find the longest substring without repeating characters.
49,Hard,Linked List,Solve find the longest substring without repeating characters with optimal time and space complexity.
50,Hard,Trees,Implement an advanced solution for find maximum depth of a binary tree.
51,Easy,Strings,Solve the problem of find majority element.
52,Medium,Strings,Design an efficient solution to find the longest substring without repeating characters.
53,Hard,Dynamic Programming,Architect a high-performance solution to implement Dijkstra's algorithm.
54,Easy,Trees,Create a function to solve N-Queens problem.
55,Easy,Dynamic Programming,Write a program to solve the knapsack problem.
56,Hard,Linked List,Implement an advanced solution for perform level order traversal of a tree.
57,Hard,Stack & Queue,Handle edge cases while implementing find shortest path in a graph.
58,Easy,Dynamic Programming,Solve the problem of find shortest path in a graph.
59,Hard,Strings,Handle edge cases while implementing solve the knapsack problem.
60,Hard,Arrays,Design a scalable algorithm to find connected components in a graph.
61,Hard,Greedy Algorithms,Handle edge cases while implementing find kth largest element.
62,Easy,Arrays,Solve the problem of implement a stack using queues.
63,Medium,Dynamic Programming,Optimize an algorithm to validate parentheses.
64,Easy,Greedy Algorithms,Create a function to implement Dijkstra's algorithm.
65,Hard,Trees,Architect a high-performance solution to solve N-Queens problem.
66,Medium,Linked List,Design an efficient solution to find maximum depth of a binary tree.
67,Easy,Stack & Queue,Create a function to generate all permutations of a string.
68,Hard,Graphs,Handle edge cases while implementing find connected components in a graph.
69,Easy,Graphs,Write a program to perform level order traversal of a tree.
70,Medium,Trees,Explain and implement an approach to find connected components in a graph.
71,Hard,Recursion & Backtracking,Architect a high-performance solution to implement LRU cache.
72,Easy,Linked List,Solve the problem of detect a cycle in a linked list.
73,Easy,Recursion & Backtracking,Create a function to find shortest path in a graph.
74,Hard,Recursion & Backtracking,Architect a high-performance solution to detect palindrome string.
75,Hard,Stack & Queue,Design a scalable algorithm to count inversions in an array.
76,Medium,Greedy Algorithms,Implement count inversions in an array with time complexity O(n log n) or better.
77,Medium,Strings,Design an efficient solution to count inversions in an array.
78,Medium,Dynamic Programming,Explain and implement an approach to find kth largest element.
